,song name,song uri,song popularity,cluster
2644,"December 1963 (Oh, What a Night) (feat. Tituss Burgess)",spotify:track:2sG0yXAHTuv37XpsgdN4cL,41,7
2645,Don't Dream It's Over,spotify:track:6avxJ3kn6rkPE21X4fyg7q,0,5
2646,Don't Mess With My Girl,spotify:track:05YDFwBIZVIEZvQAY85ccD,33,1
2647,Down,spotify:track:7LP4Es66zdY7CyjepqmvAg,79,4
2648,Drive By,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,75,4
2649,End of the Day,spotify:track:5AezhHjX3R1bmxcAEgrFpS,69,0
2650,Escape (The Pina Colada Song),spotify:track:79Dl8iYn0PFQG2wqDxPlQU,58,4
2651,Every Morning - Remastered,spotify:track:6Neq7tjnknt4URNI8txFL4,59,7
2652,Everybody Shut Up (I Have an Erection),spotify:track:4B0kQSM8wTXbvXJuGP2FWb,40,0
2653,Everybody Wants To Rule The World,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,82,7
2654,F.N.T.,spotify:track:5AZDnO5ML6THy1rmMDxddm,0,7
2655,Fall For You,spotify:track:7lWF2mVr1KKbVnaT2nSlPo,61,0
2656,Feeling Good,spotify:track:1AM8QdDFZMq6SrrqUnuQ9P,72,4
2657,Five Colours In Her Hair,spotify:track:3F9bjX7NbmiZLpYFUKTU2l,0,6
2658,Follow Me,spotify:track:4KoecuyOpZaNFZ0UqVsllc,72,4
2659,Follow You Down,spotify:track:5yVqBhvmi3sBahhaSYpl27,0,0
2660,Free Fallin',spotify:track:5tVA6TkbaAH9QMITTQRrNv,78,5
2661,Gimme! Gimme! Gimme! (A Man After Midnight),spotify:track:2PzCOP5Aj9SABiBgNEZ52G,65,7
2662,Girl Like That,spotify:track:1S7cIETDB2Ka0q7UHumqoi,0,7
2663,Gives You Hell,spotify:track:6ihL9TjfRjadfEePzXXyVF,72,4
2664,Go Fuck Yourself,spotify:track:3VAeTjREoKPY1exOXR4oBm,0,3
2665,Good Girls,spotify:track:3yfVjCrDVoxs0Ui4SVtOLr,44,0
2666,Good Girls Are Bad Girls,spotify:track:5qiEpfHFQcqaehuBRHJbBv,0,0
2667,Grace Kelly,spotify:track:4Sqc0kPuZpfI0T2TZBu8JT,0,4
2668,The Grease Mega-Mix,spotify:track:5o0pvSHR90VQOgZWuioKyx,0,3
2669,Hallelujah,spotify:track:30Ku6kudnWusRFbCGtHDSA,0,5
2670,Hang Me up to Dry,spotify:track:4goWmpceUK3FiZ8nP0u64A,20,1
2671,Hanging By A Moment,spotify:track:0wqOReZDnrefefEsrIGeR4,65,6
2672,Hate to Say I Told You So,spotify:track:4WekEzcLyDDdPHG3G6dZg4,41,0
2673,He Likes Boys,spotify:track:4zCzHw0jtLkSOFVemoGXut,50,4
2674,Headlights (feat. Ilsey),spotify:track:06Hdbxh6NCy6TIhjdXTchB,61,7
2675,Here Without You,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,75,6
2676,"Hey, Soul Sister",spotify:track:24YvUQnuPL8gObCfSnAobH,5,4
2677,High And Low,spotify:track:2dHP0nwAGIKSmVd13zMjHz,0,6
2678,Higher Ground,spotify:track:0nAekUsqPk34wgTyO2AXdj,0,7
2679,History,spotify:track:0HMjXBAZmSYOTTi33WpMso,76,7
2680,Hollow,spotify:track:6SvbLEATKUsqmgscxAj3OQ,0,1
2681,Home,spotify:track:2XJi8jbLnDBZ60gTPpdbrg,39,1
2682,I Believe in a Thing Called Love,spotify:track:756CJtQRFSxEx9jV4P9hpA,69,0
2683,"I Can't Help Myself (Sugar Pie, Honey Bunch)",spotify:track:0GiWjFOVWv3mVaNCxkgqlq,47,4
2684,I Don't Feel Like Dancin' - Radio Edit,spotify:track:1qEHgdFqUxFebMPk8s2HLY,68,7
2685,"I Dreamed A Dream (From ""Les Misérables"")",spotify:track:6XoBMk3jUtSxf7qussxg6z,34,5
2686,I Hope You Dance,spotify:track:65B1tEOv5W294uCKbmEcFV,66,6
2687,I Just Called To Say I Love You,spotify:track:6lJFfj7wWeKiYRjLMHN4SN,0,4
2688,(I Just) Died In Your Arms,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,73,7
2689,I Know What You Did Last Summer,spotify:track:7crplFzt7spG80NCbpmuCp,0,7
2690,I Like It Like That (feat. New Boyz),spotify:track:6eFahAdQgABBj1XOM99cBG,65,4
2691,I Love Jesus,spotify:track:5OE5TxJA5EK5GWpj3xJrIG,25,1
2692,I Love You Always Forever,spotify:track:1p6rk9R8SCum97WnvGNt6O,54,4
2693,I Took A Pill In Ibiza - Seeb Remix,spotify:track:7vfWgVGiLgnGbInU5lvSQg,3,7
2694,I Want to Write You a Song,spotify:track:608R6FvRtAqf2dvgKMzebP,66,5
2695,I Want You Back,spotify:track:2OSfEYKhlSsLx6vn4O75RK,63,7
2696,I Want You To Know,spotify:track:1qx8bj4quT6XuP5P9Eu12Z,0,6
2697,I Was Starving Till I Tasted You,spotify:track:3lhY1hhcUFax8vPoWXR3oD,33,0
2698,I WILL SURVIVE,spotify:track:0x4GSz5C4XZDkNhFswGboC,60,7
2699,I Won't Give Up,spotify:track:5ivF4eQBqJiVL5IAE9jRyl,71,5
2700,I Write Sins Not Tragedies,spotify:track:4bPQs0PHn4xbipzdPfn6du,74,0
2701,I'm a Realist,spotify:track:3jrw6NCITSvDZUgiqTEjdh,29,0
2702,I'm in the Mood for Dancing,spotify:track:5ZfCBpUOj3guBzjQIsDhIr,36,0
2703,I'm On My Way,spotify:track:61MTgYefMCcmrFDViNgjan,0,7
2704,I'm Yours / Somewhere over the Rainbow - EP Version,spotify:track:4g1NXho7CDYnWzwvQISprj,40,5
2705,If You Could Only See,spotify:track:7H5OQN4iv3cKE3ZNP5Mbct,52,6
2706,Iris,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,73,0
2707,Island In The Sun,spotify:track:2MLHyLy5z5l5YRp7momlgw,76,4
2708,Isn't She Lovely,spotify:track:2D1ADAq4Xgr7g6rl35s5AG,37,4
2709,Jack & Diane,spotify:track:43btz2xjMKpcmjkuRsvxyg,74,7
2710,Jade,spotify:track:4XFFuStneiPKen7HPHk02a,24,5
2711,Juliet - Single Edit,spotify:track:4cIedAXi7s8BYl4eRjC3Bc,50,7
2712,Just the Girl,spotify:track:1JURww012QnWAw0zZXi6Aa,61,7
2713,Kanye,spotify:track:1iOV4GmiYgXguKaZq4KGv7,0,6
2714,Keep The Car Running,spotify:track:2wzoyD32y6PGWyWJ4VQKXZ,0,6
2715,King of Anything,spotify:track:3VA8T3rNy5V24AXxNK5u9E,63,4
2716,La Bamba - Single Version,spotify:track:2aEeghgUcnu75tzcolFMfs,64,4
2717,Last Night I Dreamt...,spotify:track:0cxzELiFIi33aKxoEoRhhV,35,6
2718,Lay Me Down,spotify:track:6uZ2x1Z6DSpOGAlVlvuhif,0,5
2719,Leave Your Lover,spotify:track:4bdPdSIHu8OeWpLWEEB2ts,0,5
2720,Let Her Go,spotify:track:47UDiZQHAkVtMNhx6EjyOn,0,6
2721,Let's Get It On,spotify:track:4WGENqnUmbv0Ml9NwXMlsD,0,0
2722,Like A G6,spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,69,3
2723,Lisztomania,spotify:track:3EXCJvehlOGEP9ntHaEMAg,0,1
2724,A Long Goodbye,spotify:track:7HetrlvQUtXcz9eHzQX5zK,13,6
2725,Lost in the Post,spotify:track:77ypIoaZoYhvZACf0cqPul,40,0
2726,Love Is a Bitch,spotify:track:0b49amLX2WGFwGNmq6xE82,0,5
2727,Love On The Brain,spotify:track:26QRPeQOgmIGLCQKgoUJkG,1,0
2728,Low (feat. T-Pain),spotify:track:0CAfXk7DXMnon4gLudAp7J,80,7
2729,M79,spotify:track:6moSOpDt0m7rqdbjfT1mbu,45,7
2730,Master Blaster (Jammin'),spotify:track:0ky5BaGgJJnYATgz2KAc1q,0,7
2731,Meet Me on the Equinox,spotify:track:21YpG95Pj77Vj6zjZwpxZb,45,2
2732,"Memory (From ""Cats"")",spotify:track:6VNSC7pqip9LUHYWtSxFzq,27,5
2733,Mercy,spotify:track:4lYTkvMkcNRj9uoSr8Zpws,0,0
2734,Mft80s,spotify:track:4q1wBX3uWppshjnXtUFzRP,7,7
2735,The Middle,spotify:track:5kD9T7GForh8LnRz5ClbL8,1,4
2736,Midnight,spotify:track:2YtCVNJbORhMnxTtIaj6fk,42,0
2737,Missed the Boat,spotify:track:4asjU3sDnn3002bTJIg2vZ,60,4
2738,The Missing,spotify:track:2GZXNKONn8El1tNNm9Drrl,0,7
2739,Moth's Wings,spotify:track:1MXmsvcxQxUSTp9fFMN5ok,0,6
2740,The Movie Medley,spotify:track:4uYfkZvV82CJDpjNu06BdC,2,5
2741,Mr. Jones,spotify:track:7n3REqDfZBpkd0bEpGu2H3,56,4
2742,"Music Of The Night (From ""The Phantom Of The Opera"")",spotify:track:1PZyc7oCm9TK5usU6Elokx,28,5
2743,My Boo - Hitman's Club Mix,spotify:track:4c0rkFPszqQTyC753tsCMU,62,7
2744,My Doorbell,spotify:track:7edcGJmrKfDKEL3nSJtPWA,0,7
2745,My Eyes Adored You,spotify:track:6vCN2bUeTaBVPi3Q0P9uaB,39,5
2746,My Humps,spotify:track:19JdbdEwQI7bCxefMokZO8,65,3
2747,När vi gräver guld i USA,spotify:track:3iAJRvvn8pywXZtvBNNP71,50,4
2748,Nervous (The Ooh Song) - Mark McCabe Remix,spotify:track:7DghkiXPUCoMMKhWIboyU9,0,6
2749,The Nights,spotify:track:3OwPSJu609AMzotCEyoMiO,0,7
2750,No Control,spotify:track:4JaLkM90MJutDAl5jD9BZX,73,4
2751,Not In That Way,spotify:track:5eoEwktJ1CQrOBD8R6Dbcq,0,5
2752,Old Man Emu,spotify:track:5Ah7fyE3KvO8y77GZnNvDk,30,5
2753,Olivia,spotify:track:5dONhl6aXFuN86UBdayF6W,77,7
2754,One Headlight,spotify:track:0z1b34WikhOH9ZxU8QDWcv,71,4
2755,Our House,spotify:track:3rOD3MfHaXawznE0vrjM5B,0,4
2756,Paper Planes - Diplo Street Remix,spotify:track:4Y6VzrcqjvRwD1wdBGFqaa,35,1
2757,Party In The U.S.A.,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,74,7
2758,People Help the People,spotify:track:5QXtO5ZYgzGmKTDUqWdhfB,47,5
2759,Perfect Strangers,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,2,4
2760,Phantom Limb,spotify:track:4l8knlwTeoTmSnGi45kqZ8,0,7
2761,Postcards,spotify:track:0nS5Sgk5fMGT8dUC1L7OvG,58,7
2762,The Reason,spotify:track:58AwxWLaRHn2lTqqH9dLkU,52,6
2763,Red Red Wine,spotify:track:2w2VYhW71lUiP7MI2CCt8P,47,4
2764,Rhythm Of Love,spotify:track:6MDTpYxPFL0wtFd0pjfKws,63,0
2765,Rhythm of Love / Can't Help Falling in Love - EP Version,spotify:track:2gUJHhcjHiozaETPvjezUy,39,7
2766,Ridin' Solo,spotify:track:7ksYJ95P5vP87A0GH34CIk,57,7
2767,Rock & Roll,spotify:track:5RBx3tM9hmVJAOnSUHIWkn,52,1
2768,S.O.S.,spotify:track:5hbytEkl5hUB5iRb0cCtZi,0,7
2769,Sad,spotify:track:07xM26pWCDsUWV2ialwgNf,54,1
2770,Sad Song,spotify:track:44icZ80ecLrdptxxFVFtyN,0,4
2771,Save Yourself,spotify:track:67m00DhUHLDonJoqu1fOHx,44,5
2772,Scar Tissue,spotify:track:1G391cbiT3v3Cywg8T7DM1,76,4
2773,The Sea Is Calling,spotify:track:2d6pNPMVwMyTI8obNFrj77,0,6
2774,See You Again,spotify:track:0G71WvIkF2K6HViJeFvOcM,61,7
2775,Semi-Charmed Life,spotify:track:42et6fnHCw1HIPSrdPprMl,74,7
2776,Sex (Cheat Codes X Kris Kross Amsterdam),spotify:track:5wLsOFWBXXyoAgX7qQ6wbo,0,6
2777,Sexual,spotify:track:3AsAuGTaDQzavZZThyYlop,1,4
2778,She Will Be Loved,spotify:track:7sapKrjDij2fpDVj0GxP66,72,4
2779,She's Got A Boyfriend Now,spotify:track:7L5sWyyQcNa7Hb1Ndc018y,41,1
2780,She's Kinda Hot,spotify:track:5fsQSDifYpjfbCqvZKPVBj,68,4
2781,She's So Lovely,spotify:track:0IfvvQWe8SjqiCYOMvvnwK,1,0
2782,Sherry,spotify:track:11r0OH8zYLcBlryvnAiykT,48,1
2783,Shoop,spotify:track:0ipLnUeK5PODrTKyT3wVGT,0,4
2784,"Shout, Pt. 1 - Mono",spotify:track:4TxwSYdqNZ35ggQuuD8wYy,30,1
2785,Side To Side,spotify:track:4pLwZjInHj3SimIyN9SnOz,1,3
2786,Sinner,spotify:track:4kwcjuf5kDOL0OcmLI4GTR,0,7
2787,Sir Duke,spotify:track:2udw7RDkldLFIPG9WYdVtT,0,7
2788,Slide,spotify:track:0eG5CqXwJpa5MBjYyg1lRm,55,6
2789,Slide (feat. Frank Ocean & Migos),spotify:track:6gpcs5eMhJwax4mIfKDYQk,73,4
2790,Slowly,spotify:track:2U019kI1BhSSjAX4IOvZ9U,24,5
2791,Some Nights / We Are Young,spotify:track:0OhTITpLI0pI5Ia9vRq0Hz,33,6
2792,Somebody To Love - Remastered 2011,spotify:track:3vCHmbyOgc6pgwLUWfU4pF,0,6
2793,Somebody Told Me,spotify:track:7HGTkn2aX7MNdKs7nV2xBt,67,0
2794,Something Big,spotify:track:3oXhdrlwJwkx7T4RBIv3nr,44,7
2795,A Song About a Girl,spotify:track:4jzz2Ni8Y1Yu3THg0dLvtX,22,7
2796,Sound Of Your Heart,spotify:track:7awcf14LkOqHNfa6WKJwOs,0,7
2797,Street Level,spotify:track:0QKy5exHVGABJytYVtqUk2,0,1
2798,Such Great Heights,spotify:track:3iDK8BAaBUatPR84gdfa9g,0,0
2799,Summer Of '69,spotify:track:5ROeX4Hi9XoBT5hmBR1xra,0,4
2800,Sunday Morning,spotify:track:1YI0uK36eupTmw9F8kHysr,68,4
2801,Sweet Caroline,spotify:track:3zByVQLvdXUaDTubfWkpCk,1,5
2802,Sweet Creature,spotify:track:13sXuI5RjMHm7dz7O3spYs,60,5
2803,The Sweet Escape,spotify:track:66ZcOcouenzZEnzTJvoFmH,68,4
2804,Take It Easy - 2013 Remaster,spotify:track:4yugZvBYaoREkJKtbG08Qr,76,7
2805,Take It to the Limit - 2013 Remaster,spotify:track:2cWHN0WK52RGAWHgaDamUA,64,6
2806,"Take My Breath Away - Love Theme from ""Top Gun""",spotify:track:1AAEWUVZpew24mP6nC1IU5,0,1
2807,Teenage Dirtbag,spotify:track:3LI4MmibTkXH5cGpCGZgyw,69,4
2808,Ten Foot Cock and a Few Hundred Virgins - Live,spotify:track:3g4CcVkbQouyDNqRa6GJ9w,37,1
2809,That's the Way (I Like It) - 2004 Remaster,spotify:track:3PR79C1jVvLLLmgdyHkXl3,60,4
2810,"This Ain't A Scene, It's An Arms Race",spotify:track:1oagRT7LfpVlNJN6FSZDGp,67,0
2811,This Is How We Do It,spotify:track:6uQKuonTU8VKBz5SHZuQXD,65,4
2812,This Town,spotify:track:5nA67Y0XX9JipZwYxX7Gl7,0,5
2813,A Thousand Miles,spotify:track:7ulZJytSQ43kwDjT2AL0LZ,1,6
2814,"A Thousand Years (From ""The Twilight Saga: Breaking Dawn, Pt. 1"")",spotify:track:68CGs1SYzsXs7OMHKWpw0w,42,5
2815,Time to Pretend,spotify:track:4iG2gAwKXsOcijVaVXzRPW,72,6
2816,Tonight Tonight,spotify:track:2i0AUcEnsDm3dsqLrFWUCq,74,4
2817,Toothbrush,spotify:track:6aFc0W6xVS9kN9E9NGekAl,0,1
2818,Totally Wired,spotify:track:1MSzrftNayxvVX2ePbtVPI,23,6
2819,Unchained Melody,spotify:track:5RWcE4Poc4Un93zzhwKvrK,0,5
2820,Under Pressure - Remastered,spotify:track:11IzgLRXV7Cgek3tEgGgjw,70,4
2821,Under Your Thumb,spotify:track:5Ora7pLGU6pqXaRYtzoF4f,0,0
2822,Unwell,spotify:track:6Bm6qUCSatPAqkQllFL7oA,59,1
2823,Uptown Funk (feat. Bruno Mars),spotify:track:32OlwWuMpZ6b0aN2RZOeMS,81,4
2824,Vampires,spotify:track:5bkZfCCYfCXm6hQyt1y4dJ,0,4
2825,Walkabout,spotify:track:4TI49xsYR1B0YZS88Sg8O2,0,5
2826,Walking in the Wind,spotify:track:1ZycJRpLOazlLcoFGxGROO,68,7
2827,Want U Back,spotify:track:6E11E0lT5Zy7yb6iT3y8DN,67,1
2828,Wasted Time,spotify:track:3VjXD0CKry6VnBWTOAuJ5E,0,6
2829,Waving Flag (World Cup Song),spotify:track:7zUPyHt28qDuYAoC63Qqw3,26,7
2830,"What Is Love - 7"" Mix",spotify:track:2IHaGyfxNoFPLJnaEg4GTs,67,7
2831,Whatcha Say,spotify:track:7xkQdy0cy5ymoWT7nedvLz,72,7
2832,Where Is The Love?,spotify:track:3CNqo3gYrfexdrtjFmC9he,71,4
2833,Whiplash,spotify:track:5deaP8ljaEqauM3nzxRqwK,25,2
2834,Wolves,spotify:track:4hJfmMjy3wFIOknfYwhouY,67,6
2835,Words - Blonde Remix,spotify:track:2W0657jMSyssU9XPWwY66i,27,3
2836,Year 3000,spotify:track:6vpQluFwjbt4ZEl8mw6swS,0,7
2837,Year 3000,spotify:track:0zjB7ewBWnMgQDMQpFzt92,64,7
2838,You & Me,spotify:track:1bb2jMLU78mIQJ2r1GB7Rs,0,4
2839,You Don't Own Me (feat. G-Eazy),spotify:track:2CpH1L4CUR47RARB3PgY1l,59,0
2840,You Raise Me Up,spotify:track:3QNv5UzB8hhSORC9u5RCzN,0,5
2841,Zero,spotify:track:1OJrcYcbtEJWC8dT9unEOm,0,6
2842,Zoot Suit Riot,spotify:track:1qmJbXpVLydNcN6VTR40GU,47,0
2843,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",spotify:track:6JV2JOEocMgcZxYSZelKcc,77,4
2844,Treat You Better,spotify:track:1rtDwblY1CJ9i490fMzJnc,0,3
2845,We Don't Talk Anymore (feat. Selena Gomez),spotify:track:37FXw5QGFN7uwwsLy8uAc0,69,5
2846,Into You,spotify:track:2meEiZKWkiN28gITzFwQo5,76,6
2847,One Dance,spotify:track:12VWzyPDBCc8fqeWCAfNwR,67,4
2848,Let Me Love You,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,81,6
2849,Let Me Hold You (Turn Me On),spotify:track:72xvRETEsd5hS1RfduciRi,1,6
2850,Bills,spotify:track:7rlCeTnjn0plPZkVAcctPZ,61,1
2851,Fire and the Flood,spotify:track:7LI1qAsZiRaIpSA7FaWLXa,0,6
2852,In the Name of Love,spotify:track:23L5CiUhw2jV1OIMwthR3S,78,6
2853,Free,spotify:track:1OPlx5qqkPUp4VMxFLVhIL,47,4
2854,Mercy,spotify:track:3OalxlWH0v14kyBcNBMINt,0,0
2855,Don't Let Me Down,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,79,0
2856,Money Maker (feat. LunchMoney Lewis & Aston Merrygold),spotify:track:7LTjJwEnPWwu5amZdF7OMS,23,4
2857,Lanterns,spotify:track:1w1LOtv2BM2C5pK4LG7SJ6,57,0
2858,Budapest,spotify:track:7GJClzimvMSghjcrKxuf1M,50,6
2859,Put Your Hands Up,spotify:track:5CssLKLCmxLkxgmnv6rYDr,36,4
2860,Say You Won't Let Go,spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,73,5
2861,Trembling Hands,spotify:track:4GnEwilW2EtzpPHoABcc4w,0,6
2862,Enough (feat. Gizzle),spotify:track:42ziF34uW56yqVpDQKLVp9,39,6
2863,Let Me Down Easy,spotify:track:1OhyE4pJdNDLvBjJsc6mo3,41,6
2864,Nervous,spotify:track:23prqukOZaHgnIqI0JhwVz,0,6
2865,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",spotify:track:2S5LNtRVRPbXk01yRQ14sZ,69,7
2866,Please Don't Go,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,75,6
2867,Anchor,spotify:track:155TeBBicBlRtYiUMOT33E,29,6
2868,Broken Leg,spotify:track:32G0h9eJinZuDu89USLU2V,53,0
2869,Don't Lose My Number - 2016 Remaster,spotify:track:3CFRrpmTnGYi0JC7QDIxFP,37,4
2870,Fresh Eyes,spotify:track:4ftPj2fBTJ5pytddHwCPH0,0,4
2871,Am I Wrong,spotify:track:2wqaekenSQZm7hxQOYt8oE,62,7
2872,Scars To Your Beautiful,spotify:track:42ydLwx4i5V49RXHOozJZq,79,0
2873,This Is What You Came For (feat. Rihanna),spotify:track:0azC730Exh71aQlOt9Zj3y,79,7
2874,Of The Night,spotify:track:4yFEz5j53bnYoavrMqJY6i,0,6
2875,Bad,spotify:track:3FvQH46A4B37eNHjooIXcu,57,7
2876,One Call Away,spotify:track:2uEJanMvnA1dXgX1ASnPQm,60,4
2877,The Trouble with Us,spotify:track:2gkyOTZQJ7mWf32KK0zEXc,0,4
2878,Shut Up and Dance,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,80,4
2879,Fresh Eyes,spotify:track:4tfmkxUhK6e2j6EpHl4H68,0,4
2880,Little Lion Man,spotify:track:20uBdCmVtlUuYsvxysoito,5,6
2881,The Mack,spotify:track:7aV2mflaASUmGhCErm7kBO,0,4
2882,Wings,spotify:track:0F2rLjrLIE4LzZXxUzhOx2,35,6
2883,Roads,spotify:track:0hAElLsI88f3nvcaqqIn9y,24,7
2884,Call On Me - Ryan Riback Remix,spotify:track:3VbV2BIXQbb5eYVWqA8nLC,0,4
2885,Fireball (feat. John Ryan),spotify:track:49eplIHvgCLY8HAgcaWrUb,65,7
2886,Let It Go,spotify:track:3nnG7AM9QopHVPEuLX3Khk,74,5
2887,Cocoon,spotify:track:2v06ZOVTUrUoBNKOCqS22m,0,7
2888,My Way,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,75,4
2889,Never Be Like You,spotify:track:12REd1n8PeiHHWOh066tpr,1,6
2890,Scared to Be Lonely,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,79,6
2891,Paris,spotify:track:15vzANxN8G9wWfwAJLLMCg,72,6
2892,Capsize,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,1,1
2893,Call On Me - Ryan Riback Extended Remix,spotify:track:78rIJddV4X0HkNAInEcYde,50,4
2894,Hotline Bling,spotify:track:2FBUoWkIuQXwayw2RNo5l6,0,4
2895,Scared to Be Lonely,spotify:track:0KR2W3St74th8z3LS94Ffh,10,6
2896,Cold Water (feat. Justin Bieber & MØ),spotify:track:5x9uAWpQ0qj8V61xckw6TV,48,6
2897,Mercy,spotify:track:0Zxswuv5xzIhxDnsKJLq82,1,0
2898,Chameleon,spotify:track:5SWXB6yNFEf1Dmqtw5zr9L,18,6
2899,All Time Low,spotify:track:0SuLAslEMFZAXf0SwY7syi,70,4
2900,Call on Me - Ryan Riback Remix,spotify:track:14uKsvPJ0quzQvdB6f7Dur,60,4
2901,Issues,spotify:track:6AeQlMyRzvSl1nkFztZyKl,58,7
2902,It Ain’t Me (with Selena Gomez),spotify:track:12GEpg2XOPyqk03JZEZnJs,66,4
2903,Cocoon,spotify:track:09ktDKfoIaTmPbDMIJycYp,52,7
2904,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),spotify:track:7qiocSptcv8CObe8mdvsiZ,39,4
2905,Keep Me Crazy,spotify:track:756xOfT6UoTgkf0w8PnVIC,33,4
2906,Skin,spotify:track:6y2Kaz9QI01XBKJ8mTb7Pf,68,3
2907,Falling,spotify:track:3d9JucRI60arArgQXqtfjJ,0,7
2908,In My Blood,spotify:track:0x4GHzCjY5MGQ960CHnVHz,54,6
2909,Body Like A Back Road,spotify:track:1W0z9ZFfzkpvAQ23Sd7Cti,1,4
2910,No Money,spotify:track:0gb1J5UrTpzaU1s3nupgCd,70,7
2911,Dear Future Husband,spotify:track:3cU2wBxuV6nFiuf6PJZNlC,72,4
2912,Lips Are Movin,spotify:track:6gj08XDlv9Duc2fPOxUmVD,69,7
2913,Rock That Body,spotify:track:52ZiapOPlSsnOW38efJZeK,0,7
2914,Meet Me Halfway,spotify:track:2T4u39au5RJzsulMUpRuVr,0,7
2915,Imma Be,spotify:track:6jMw916p6AcxnVQ9n4kbsy,0,3
2916,Alive,spotify:track:3fVzDzEyIKC5h2VMmR9Cb6,0,1
2917,Missing You,spotify:track:63HKH6KQQDOym9zZW5KVbp,0,4
2918,Ring-A-Ling,spotify:track:20WQAS1aKcg1g7PleJpEZL,0,7
2919,Party All The Time,spotify:track:6f7ThZVSzHBx5yairryawA,0,1
2920,Out Of My Head,spotify:track:3c42Z1rkA7L6W0suOp3vHN,0,7
2921,Electric City,spotify:track:0yBI7HheJYIu74DspysD0w,0,4
2922,Showdown,spotify:track:0r039EctzsOJPdEY26teh5,0,1
2923,Now Generation,spotify:track:6Hlkr304SlFX14yAz8HNB2,0,4
2924,One Tribe,spotify:track:1KYF4Qx4VjYMk0LnIk94eA,0,7
2925,Rockin To The Beat,spotify:track:0p8S1SrAqfwRmzNTeBUvKg,0,7
2926,Mare,spotify:track:1Z3nrejy25ClNkQH2fAwST,0,3
2927,Headlights,spotify:track:14WB9RMGcLvEKWNgPP22fV,0,1
2928,Say It,spotify:track:6vnDoUOHTiVB5DvX18tJon,1,6
2929,Love The Way You Lie,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,1,1
2930,Runaway (U & I),spotify:track:46lFttIf5hnUZMGvjK0Wxo,75,6
2931,Hide Away,spotify:track:0uyZ5ckiIUbFZd3P6RWmrj,63,7
2932,Hold Back The River,spotify:track:1KZyVnyptQcPzkx7ELCnZC,68,4
2933,Not Afraid,spotify:track:4hEl2wrneFEJbJ6SDYWd2f,0,3
2934,Thrift Shop (feat. Wanz),spotify:track:4YMqbFcDIFiCBd02PzUBcM,71,3
2935,Don't Worry Be Happy,spotify:track:4hObp5bmIJ3PP3cKA9K9GY,67,5
2936,Heavy (feat. Kiiara),spotify:track:104buTcnP2AsxqB7U1FIZ4,69,0
2937,Somebody Else,spotify:track:1P5UsHGwu5h9Cg0DYGswMM,18,4
2938,Whataya Want from Me,spotify:track:2rDwdvBma1O1eLzo29p2cr,64,0
2939,Ghost Town,spotify:track:44aN5xKL3kGHvQ5bXVk6B8,65,6
2940,Someone Like You,spotify:track:6QPKYGnAW9QozVz2dSWqRg,79,5
2941,Surface,spotify:track:5ERWSokrBWx8sUwHV6QN93,0,2
2942,I'm Ready,spotify:track:3oYbe2YVDCOaHhtzY7JEHs,0,7
2943,Weak,spotify:track:3TJk0aoXM0knrOlgd1fnbx,3,4
2944,Faded,spotify:track:1brwdYwjltrJo7WHpIvbYt,1,6
2945,Wild Things,spotify:track:0PAj9Y5kFEzhGeWkockoxv,62,4
2946,Trick of the Light,spotify:track:5n7wZS5DqYezW3HyLP19dY,0,6
2947,Empire State of Mind (Part II) Broken Down,spotify:track:5sra5UY6sD658OabHL3QtI,74,5
2948,Your Fires,spotify:track:6kQP6QE17dvHPw4vQNj6nn,0,5
2949,Sons and Daughters,spotify:track:1tW0KVsEb31lq4cuLaykaS,0,5
2950,Breezeblocks,spotify:track:3n69hLUdIsSa1WlRmjMZlW,72,6
2951,Best Day Of My Life - Single Version,spotify:track:6RxO08wzUmlE1sBc1bNZNW,60,4
2952,Hit It,spotify:track:46wcdZ8jkLcC4W5uJWlcQH,32,1
2953,Ocean,spotify:track:5Ay4TcmTVEGR3pHlJGGTnf,24,6
2954,Fresh Eyes,spotify:track:4nMlau89VAjmV7agkl7OY3,0,4
2955,And the Boys,spotify:track:23PIu3m4HwMOy8iTF0YkvC,0,5
2956,Why This Kolaveri Di? - The Soup of Love,spotify:track:2VGs7EmaIxq96Wcog6DQOc,51,4
